iter	Passed	Remaining
569	2838	2141
570	2841	2135
571	2846	2129
572	2850	2123
573	2853	2118
574	2857	2112
575	2863	2107
576	2868	2102
577	2872	2097
578	2876	2091
579	2880	2086
580	2884	2080
581	2888	2074
582	2891	2068
583	2895	2062
584	2899	2056
585	2902	2050
586	2905	2044
587	2908	2038
588	2912	2032
589	2915	2025
590	2918	2019
591	2920	2013
592	2923	2006
593	2926	2000
594	2929	1993
595	2931	1987
596	2934	1981
597	2937	1974
598	2940	1968
599	2942	1961
600	2945	1955
601	2948	1949
602	2950	1942
603	2953	1936
604	2955	1929
605	2958	1923
606	2960	1917
607	2963	1910
608	2965	1904
609	2968	1897
610	2970	1891
611	2973	1884
612	2975	1878
613	2978	1872
614	2998	1877
615	3005	1873
616	3011	1869
617	3017	1865
618	3024	1861
619	3029	1857
620	3035	1852
621	3041	1848
622	3047	1844
623	3053	1840
624	3059	1835
625	3065	1831
626	3070	1826
627	3074	1821
628	3079	1816
629	3083	1811
630	3088	1806
631	3093	1801
632	3097	1796
633	3102	1790
634	3105	1785
635	3109	1779
636	3113	1774
637	3117	1768
638	3120	1763
639	3124	1757
640	3128	1752
641	3131	1746
642	3148	1747
643	3153	1743
644	3158	1738
645	3179	1742
646	3185	1738
647	3192	1734
648	3199	1730
649	3211	1729
650	3217	1725
651	3224	1721
652	3230	1716
653	3237	1712
654	3243	1708
655	3250	1704
656	3255	1699
657	3260	1694
658	3265	1689
659	3269	1684
660	3274	1679
661	3277	1673
662	3280	1667
663	3284	1661
664	3287	1656
665	3290	1650
666	3293	1644
667	3296	1638
668	3299	1632
669	3302	1626
670	3305	1620
671	3308	1614
672	3327	1616
673	3344	1617
674	3350	1613
675	3354	1607
676	3359	1602
677	3363	1597
678	3367	1592
679	3371	1586
680	3375	1581
681	3379	1575
682	3383	1570
683	3387	1565
684	3391	1559
685	3395	1554
686	3399	1548
687	3402	1543
688	3406	1537
689	3410	1532
690	3413	1526
691	3417	1520
692	3420	1515
693	3423	1509
694	3426	1503
695	3429	1497
696	3432	1492
697	3435	1486
698	3438	1480
699	3441	1474
700	3444	1469
701	3447	1463
702	3449	1457
703	3452	1451
704	3455	1445
705	3458	1440
706	3461	1434
707	3463	1428
708	3466	1422
709	3469	1416
710	3471	1411
711	3474	1405
712	3477	1399
713	3479	1393
714	3482	1388
715	3485	1382
716	3487	1376
717	3490	1370
718	3493	1365
719	3495	1359
720	3498	1353
721	3501	1348
722	3507	1343
723	3510	1338
724	3513	1332
725	3516	1327
726	3519	1321
727	3521	1315
728	3524	1310
729	3527	1304
730	3530	1299
731	3533	1293
732	3536	1288
733	3538	1282
734	3541	1276
735	3544	1271
736	3547	1265
737	3550	1260
738	3553	1255
739	3557	1249
740	3559	1244
741	3562	1238
742	3565	1233
743	3582	1232
744	3584	1227
745	3588	1221
746	3590	1216
747	3593	1210
748	3596	1205
749	3599	1199
750	3601	1194
751	3604	1188
752	3607	1183
753	3609	1177
754	3612	1172
755	3615	1166
756	3629	1164
757	3633	1159
758	3637	1155
759	3642	1150
760	3647	1145
761	3651	1140
762	3656	1135
763	3660	1130
764	3665	1125
765	3670	1121
766	3674	1116
767	3678	1111
768	3690	1108
769	3694	1103
770	3699	1098
771	3704	1094
772	3709	1089
773	3714	1084
774	3719	1079
775	3724	1075
776	3728	1070
777	3733	1065
778	3748	1063
779	3751	1058
780	3767	1056
781	3773	1052
782	3779	1047
783	3785	1042
784	3791	1038
785	3800	1034
786	3813	1032
787	3819	1027
788	3826	1023
789	3832	1018
790	3838	1014
791	3845	1009
792	3851	1005
793	3856	1000
794	3862	995
795	3868	991
796	3873	986
797	3879	982
798	3885	977
799	3892	973
800	3904	970
801	3910	965
802	3918	961
803	3925	956
804	3932	952
805	3938	947
806	3943	943
807	3965	942
808	3971	937
809	3977	932
810	3983	928
811	3988	923
812	3994	918
813	4000	914
814	4006	909
815	4013	905
816	4028	902
817	4035	897
818	4043	893
819	4049	888
820	4054	884
821	4058	878
822	4064	874
823	4069	869
824	4074	864
825	4079	859
826	4084	854
827	4088	849
828	4094	844
829	4098	839
830	4103	834
831	4108	829
832	4112	824
833	4117	819
834	4121	814
835	4126	809
836	4130	804
837	4134	799
838	4137	794
839	4141	788
840	4145	783
841	4149	778
842	4152	773
843	4155	768
844	4158	762
845	4161	757
846	4165	752
847	4168	747
848	4171	741
849	4175	736
850	4178	731
851	4182	726
852	4186	721
853	4191	716
854	4195	711
855	4198	706
856	4201	700
857	4204	695
858	4207	690
859	4210	685
860	4213	680
861	4215	674
862	4218	669
863	4221	664
864	4224	659
865	4227	654
866	4230	648
867	4233	643
868	4237	638
869	4240	633
870	4244	628
871	4247	623
872	4250	618
873	4252	613
874	4255	607
875	4258	602
876	4261	597
877	4264	592
878	4267	587
879	4270	582
880	4275	577
881	4277	572
882	4280	567
883	4283	562
884	4286	557
885	4289	551
886	4292	546
887	4295	541
888	4298	536
889	4301	531
890	4304	526
891	4308	521
892	4311	516
893	4314	511
894	4318	506
895	4321	501
896	4325	496
897	4329	491
898	4332	486
899	4336	481
900	4339	476
901	4343	471
902	4346	466
903	4349	461
904	4352	456
905	4355	451
906	4359	446
907	4362	442
908	4365	437
909	4368	432
910	4372	427
911	4375	422
912	4378	417
913	4381	412
914	4384	407
915	4388	402
916	4391	397
917	4395	392
918	4398	387
919	4401	382
920	4404	377
921	4406	372
922	4410	367
923	4413	363
924	4416	358
925	4419	353
926	4421	348
927	4425	343
928	4428	338
929	4431	333
930	4433	328
931	4436	323
932	4439	318
933	4443	313
934	4446	309
935	4449	304
936	4452	299
937	4455	294
938	4458	289
939	4461	284
940	4464	279
941	4467	275
942	4470	270
943	4472	265
944	4475	260
945	4478	255
946	4481	250
947	4484	245
948	4486	241
949	4490	236
950	4493	231
951	4496	226
952	4499	221
953	4501	217
954	4504	212
955	4507	207
956	4510	202
957	4513	197
958	4516	193
959	4519	188
960	4524	183
961	4527	178
962	4529	174
963	4533	169
964	4535	164
965	4538	159
966	4541	155
967	4545	150
968	4548	145
969	4551	140
970	4554	136
971	4557	131
972	4560	126
973	4562	121
974	4565	117
975	4568	112
976	4572	107
977	4575	102
978	4577	98
979	4581	93
980	4584	88
981	4588	84
982	4592	79
983	4594	74
984	4597	70
985	4600	65
986	4602	60
987	4605	55
988	4608	51
989	4611	46
990	4613	41
991	4616	37
992	4619	32
993	4621	27
994	4624	23
995	4627	18
996	4631	13
997	4634	9
998	4637	4
999	4640	0
